feature,importance
E_pos_std,0.084501244
kw_climate_risk_freq,0.040354505
S_pos_std,0.040049605
kw_carbon_emissions_freq,0.037564605
doc_length,0.037394766
count_emissions_numbers,0.03273277
business_length,0.0302054
kw_ethics_compliance_freq,0.028002037
kw_renewable_energy_freq,0.02742114
count_employee_numbers,0.025412677
kw_waste_water_freq,0.024739837
E_coverage_pct,0.024208508
E_pos_neg_ratio,0.023092797
S_coverage_pct,0.022412287
G_pos_std,0.022216966
G_sentence_count,0.022070019
S_sentence_count,0.021928765
E_sentence_count,0.02124612
G_neg_mean,0.02041858
kw_community_freq,0.01910266
G_neg_std,0.019096084
kw_executive_pay_freq,0.0180568
S_pos_mean,0.017906785
S_neg_std,0.017273583
S_neg_mean,0.017064584
E_neu_mean,0.016534466
kw_controversy_freq,0.016510911
S_pillar_score,0.01632166
kw_diversity_freq,0.015755085
kw_human_rights_freq,0.015656328
risk_factors_length,0.015476582
kw_board_governance_freq,0.014942722
business_pct,0.0142759355
mda_length,0.0142657235
kw_transparency_freq,0.013583035
S_pos_neg_ratio,0.013082901
kw_regulatory_penalties_freq,0.012942862
S_neu_mean,0.012248587
G_neu_mean,0.012010467
mda_pct,0.012006409
G_coverage_pct,0.011365239
risk_factors_pct,0.011150791
kw_employee_welfare_freq,0.010410466
G_pos_mean,0.009011721
E_pillar_score,0.008772798
G_pos_neg_ratio,0.008639659
has_sustainability_mention,0.0064333603
G_pillar_score,0.006087803
has_employee_numbers,0.0055364086
E_pos_mean,0.0047908407
E_neg_mean,0.003968681
E_neg_std,0.0037454711
kw_carbon_emissions_present,0.0
kw_renewable_energy_present,0.0
kw_human_rights_present,0.0
kw_community_present,0.0
kw_waste_water_present,0.0
kw_climate_risk_present,0.0
kw_diversity_present,0.0
kw_employee_welfare_present,0.0
kw_executive_pay_present,0.0
kw_board_governance_present,0.0
num_sections,0.0
kw_controversy_present,0.0
kw_transparency_present,0.0
kw_ethics_compliance_present,0.0
kw_regulatory_penalties_present,0.0
has_emissions_numbers,0.0
count_dollar_fines,0.0
has_dollar_fines,0.0
has_percent_renewable,0.0
count_percent_renewable,0.0
has_women_leadership,0.0
count_women_leadership,0.0
has_board_independence,0.0
count_board_independence,0.0
