target,industry,n,r2,mae
total_score,Biotechnology,7,-0.3023958768359305,162.08138531950115
total_score,Consumer products,5,-0.14071944819285687,203.10858277841217
total_score,Health Care,6,0.20607867029006166,150.5884350961224
total_score,Other,36,-0.062262253257319156,141.4033341927597
total_score,Technology,11,-0.8722763590287199,150.06648525618974
environment_score,Biotechnology,7,-0.4029490042080799,111.48048446121058
environment_score,Consumer products,5,0.006449266036880008,128.85463189082662
environment_score,Health Care,6,0.23684254616041645,96.23922175248242
environment_score,Other,36,-0.11630715588944418,98.64679287000497
environment_score,Technology,11,-0.9518220421821069,123.32614874164845
social_score,Biotechnology,7,-0.5714548556240711,41.83730397571287
social_score,Consumer products,5,-0.9736224164627421,32.4060445344792
social_score,Health Care,6,0.2176646241166511,32.348416659992175
social_score,Other,36,0.2520862807118116,31.391985386978515
social_score,Technology,11,-0.6039883591327408,29.103772728273757
governance_score,Biotechnology,7,0.0574844691234363,40.19268493291039
governance_score,Consumer products,5,-0.21597184524362034,44.875014644388514
governance_score,Health Care,6,-0.020546831885663863,36.439940783693196
governance_score,Other,36,-0.007923231448837775,37.57408889289743
governance_score,Technology,11,-0.157673159772574,28.874579993110373
