ticker,E_pos_mean,E_neg_mean,E_neu_mean,E_pos_std,E_neg_std,E_sentence_count,E_pos_neg_ratio,E_pillar_score,S_pos_mean,S_neg_mean,S_neu_mean,S_pos_std,S_neg_std,S_sentence_count,S_pos_neg_ratio,S_pillar_score,G_pos_mean,G_neg_mean,G_neu_mean,G_pos_std,G_neg_std,G_sentence_count,G_pos_neg_ratio,G_pillar_score,kw_carbon_emissions_freq,kw_carbon_emissions_present,kw_renewable_energy_freq,kw_renewable_energy_present,kw_climate_risk_freq,kw_climate_risk_present,kw_waste_water_freq,kw_waste_water_present,kw_diversity_freq,kw_diversity_present,kw_employee_welfare_freq,kw_employee_welfare_present,kw_human_rights_freq,kw_human_rights_present,kw_community_freq,kw_community_present,kw_board_governance_freq,kw_board_governance_present,kw_executive_pay_freq,kw_executive_pay_present,kw_ethics_compliance_freq,kw_ethics_compliance_present,kw_transparency_freq,kw_transparency_present,kw_regulatory_penalties_freq,kw_regulatory_penalties_present,kw_controversy_freq,kw_controversy_present,doc_length,num_sections,business_length,business_pct,risk_factors_length,risk_factors_pct,mda_length,mda_pct,E_coverage_pct,S_coverage_pct,G_coverage_pct,has_sustainability_mention,has_emissions_numbers,count_emissions_numbers,has_dollar_fines,count_dollar_fines,has_employee_numbers,count_employee_numbers,has_percent_renewable,count_percent_renewable,has_women_leadership,count_women_leadership,has_board_independence,count_board_independence,industry,environment_score,social_score,governance_score,total_score,total_grade
A,0.2401760633891591,0.1461838496347459,0.6136400869044547,0.3102685613690126,0.2727237225887839,52.0,2.166666305555616,63.9,0.1633315544854849,0.1351761190034449,0.7014923255518078,0.2310281677947963,0.2765693885103357,100,1.166666569444453,61.93,0.2151301893932016,0.2820547365623971,0.5028150738014475,0.3280543857334527,0.3533759916319059,69,0.6999999650000017,54.2,0.1177648236471766,1,0.1177648236471766,1,0.0588824118235883,1,0.1177648236471766,1,0.7065889418830595,1,5.18165224047577,1,0.0,0,0.1177648236471766,1,0.2649708532061473,1,0.6771477359712654,1,0.8832361773538243,1,0.6477065300594712,1,1.0304422069127952,1,0.206088441382559,1,33966,3,9248,0.2722722722722723,8911,0.2623505858799976,15807,0.4653771418477301,0.0558499676146735,0.2267561679326385,0.0968615674498027,1,0,0,0,0,0,0,0,0,0,0,0,0,Life Sciences Tools and Services,573,231,233,1037,BBB
AADI,0.0569092934019863,0.2309312099241651,0.7121594860218465,0.0867238076004785,0.3192540117449196,16.0,0.0,51.98,0.1445324672572314,0.2078874059021473,0.64758012637496,0.2318847079115745,0.3087311545206053,100,0.4090908904958686,56.55,0.1399092368315905,0.3766077273990958,0.4834830441698432,0.2456681467835444,0.3693782152875645,100,0.2682926763831054,45.42,0.0,0,0.0,0,0.0,0,0.0472126813262042,1,0.1534412143101637,1,4.119306445711318,1,0.0,0,0.0944253626524084,1,0.2006538956363679,1,0.1298348736470616,1,0.9324504561925332,1,0.9442536265240844,1,1.6052311650909434,1,0.861631434203227,1,84723,3,20962,0.2474180564899732,55210,0.6516530340049337,8551,0.100928909505093,0.0060904358910803,0.1620811349928591,0.0731088370336272,1,0,0,0,0,1,5,0,0,0,0,0,0,Biotechnology,200,201,203,604,B
AAL,0.1922535300646957,0.1844187183942842,0.6233277550653408,0.2649281681728677,0.2984691403921252,95.0,0.8823528892733594,59.74,0.1653363975323736,0.3605250024469569,0.4741385990381241,0.2687919731564583,0.4068556307215198,100,0.333333324786325,47.35,0.1164844753796753,0.2089830389937635,0.6745324889870034,0.1838960552792435,0.2967228200569829,97,0.3157894570637127,55.49,2.8271048679211948,1,0.0706776216980298,1,0.3533881084901493,1,0.1060164325470447,1,1.024825514621433,1,3.268840003533881,1,0.0,0,0.0,0,0.1766940542450746,1,0.229702270518597,1,0.4063963247636717,1,0.3357187030656418,1,0.4063963247636717,1,0.3003798922166268,1,56595,3,1100,0.0194363459669582,37733,0.6667196748829401,17762,0.3138439791501016,0.087640250905557,0.1542892481667991,0.0867567806343316,0,0,0,0,0,0,0,0,0,0,0,0,0,Airlines,270,211,265,746,B
AAME,0.4538524709641933,0.0093856649473309,0.5367618724703789,0.3644501008093357,0.0020202752202749,2.0,1000000.0,80.27,0.2275055597634299,0.189220095549612,0.5832743511388176,0.3313406420901196,0.3203376444113685,76,1.0714284948979649,60.66,0.0902609104371589,0.0248156440565767,0.8849234555078589,0.1827488628956025,0.009464659219449,23,1000000.0,66.55,0.0,0,0.073833431777909,1,0.0,0,0.0,0,1.1075014766686355,1,6.94034258712345,1,0.0,0,0.0,0,0.5168340224453633,1,0.147666863555818,1,0.147666863555818,1,1.0336680448907265,1,0.5168340224453633,1,0.3691671588895451,1,13544,3,6987,0.5158741878322505,51,0.0037655050206733,6506,0.4803603071470761,0.0038393384524512,0.1889397519196692,0.0553012404016538,1,0,0,0,0,0,0,0,0,0,0,0,0,Insurance,220,221,300,741,B
AAOI,0.135177505435422,0.4004228042904287,0.4643996795639395,0.2218666593423478,0.3991162762534685,12.0,0.199999960000008,43.7,0.1994865256082266,0.3596098937420174,0.4409035824611783,0.3012030256720746,0.4063641852791415,100,0.4473684092797787,48.61,0.1584832615307754,0.2792294382428129,0.5622873068565414,0.2620248871899637,0.3375874748276537,42,0.3846153550295881,52.4,0.0,0,0.0334515287348631,1,0.0,0,0.1338061149394527,1,0.2676122298789055,1,3.746571218304677,1,0.0,0,0.0,0,0.0669030574697263,1,0.1672576436743159,1,0.2007091724091791,1,0.2007091724091791,1,0.7693851609018532,1,0.0,0,29894,3,7551,0.2525924934769519,11732,0.3924533351174148,10611,0.3549541714056332,0.0195022412524252,0.1252090720545929,0.0482371044356727,1,0,0,0,0,1,2,0,0,0,0,0,0,Communications,311,256,218,785,BB
AAON,0.2309022451586583,0.1271161848733968,0.6419815754189211,0.2829818566481606,0.2817965644335871,51.0,1.14285697959186,64.82,0.1933506877782444,0.2982100589563035,0.5084392585688167,0.3047738496278163,0.3833393483531808,54,0.4705882076124583,52.38,0.1283947900182714,0.2848203960855148,0.5867848118865177,0.2243932839502944,0.377629807475035,38,0.3636363305785154,50.98,0.5527534028881365,1,0.2763767014440682,1,0.069094175361017,1,0.4836592275271195,1,0.069094175361017,1,4.2147446970220415,1,0.0,0,0.2072825260830512,1,0.2763767014440682,1,0.4145650521661024,1,0.4145650521661024,1,1.5891660333033926,1,0.6218475782491536,1,0.0,0,14473,3,5079,0.3509293166586056,3329,0.2300145097768258,6065,0.4190561735645685,0.1410212119118358,0.1527672217232087,0.109306985421129,1,0,0,0,0,0,0,0,0,0,0,0,0,Building,500,300,223,1023,BBB
AAP,0.0732018790311283,0.2443645155160791,0.6824336097472243,0.1440581825610584,0.3165952264162975,36.0,0.1111110987654334,51.68,0.1529699637407535,0.5256151882147319,0.3214148425546131,0.2810314063450985,0.4253409893475747,95,0.2222222181069959,36.19,0.1979204336419067,0.3393096221373119,0.462769968157753,0.2919719845287952,0.3871711582426959,47,0.5294117335640156,49.87,0.4841247428087303,1,0.0806874571347883,1,0.0806874571347883,1,0.3227498285391535,1,0.3227498285391535,1,2.460967442611046,1,0.1613749142695767,1,0.0,0,0.403437285673942,1,0.403437285673942,1,0.7261871142130956,1,0.1613749142695767,1,1.5330616855609795,1,0.0806874571347883,1,24787,3,2621,0.1057409125751401,9897,0.3992818816315003,12269,0.4949772057933594,0.0686650260217049,0.2032920482510993,0.0856497357485778,1,0,0,0,0,0,0,0,0,0,0,0,0,Retail,264,261,210,735,B
AAPL,0.067230060386161,0.4349785456433892,0.4977914188057184,0.1037250513073304,0.381993071176397,6.0,0.0,39.08,0.1499841651154889,0.3440238227653834,0.5059920231501261,0.2251558864157197,0.3544066097737587,45,0.2857142653061239,47.89,0.0825370911222237,0.1773502613202883,0.7401126482738898,0.0948039235830982,0.2719893868108409,13,0.0,56.36,0.0,0,0.1376367765466932,1,0.1376367765466932,1,0.1376367765466932,1,0.8946390475535063,1,4.473195237767532,1,0.0,0,0.0688183882733466,1,0.2064551648200399,1,0.0,0,0.4817287179134265,1,0.2752735530933865,1,1.4451861537402797,1,1.169912600646893,1,14531,3,2321,0.1597274791824375,9534,0.6561145137980868,2676,0.1841580070194756,0.0194067854930837,0.1836762783015622,0.0461083201431422,1,0,0,0,0,0,0,0,0,0,0,0,0,Technology,355,281,255,891,BB
AATC,0.1179915697906505,0.4401250328783961,0.4418834032998843,0.2350481245886007,0.4362525058972677,11.0,0.199999960000008,40.52,0.1810038871428167,0.3559652531032704,0.4630308619023047,0.2837326829419714,0.4038519268673311,44,0.4374999726562517,48.2,0.0549259248056582,0.2457022593489715,0.6993718138230699,0.0696116047396009,0.336376802608493,35,0.0,50.95,0.0,0,0.0578569775514927,1,0.0,0,0.2892848877574636,1,0.0578569775514927,1,2.1985651469567227,1,0.0,0,0.0578569775514927,1,0.4628558204119417,1,0.0,0,0.6364267530664198,1,0.4049988428604489,1,0.6364267530664198,1,0.0,0,17284,3,4476,0.2589678315204813,8391,0.4854778986345753,4417,0.2555542698449433,0.0258620689655172,0.1105646841009025,0.0857440407313122,1,0,0,0,0,1,2,0,0,0,0,0,0,Electrical Equipment,410,286,240,936,BBB
AAWW,0.2965291454715447,0.1036936406873994,0.5997772068820066,0.3218615831227134,0.2281712164396965,36.0,5.9999970000015,68.64,0.2606436803351281,0.2560352567180069,0.4833210691348794,0.3381423121506812,0.3609361282832589,97,0.8461538136094686,57.48,0.2186370407621008,0.174508953748574,0.6068540135788363,0.2793157917595437,0.3207882522336679,43,1.14285697959186,61.31,2.038849347568209,1,0.0741399762752076,1,0.2594899169632265,1,0.0370699881376038,1,0.556049822064057,1,4.040628706998814,1,0.0,0,0.0370699881376038,1,0.2224199288256227,1,0.3336298932384341,1,0.5931198102016608,1,0.556049822064057,1,1.07502965599051,1,0.0,0,26976,3,7328,0.2716488730723606,9089,0.3369291221826809,10559,0.3914220047449585,0.0392200474495848,0.1274836892052194,0.0428899762752075,1,0,0,0,0,1,1,0,0,0,0,0,0,Logistics and Transportation,520,243,237,1000,BBB
ABBV,0.0322654791442411,0.2961238763694252,0.6716106278555733,0.0141907094236562,0.3579682204715492,7.0,0.0,46.88,0.1973379986081272,0.1259874963201582,0.6766745020821691,0.2669733587682824,0.2377856339278873,100,1.5999998400000162,63.72,0.2161132625658952,0.1863310603713173,0.5975556805552471,0.3047862446920351,0.289876779937931,42,1.14285697959186,60.45,0.0378286362776621,1,0.0,0,0.0378286362776621,1,0.0,0,0.8700586343862303,1,7.338755437866465,1,0.0,0,0.0756572725553243,1,0.5296009078872707,1,0.1134859088329865,1,0.6809154529979193,1,0.5674295441649329,1,1.0970304520522036,1,0.605258180442595,1,26435,3,10314,0.3901645545678078,7631,0.2886703234348401,8490,0.321165121997352,0.0125969358804615,0.2553432948742198,0.0804615093625874,1,0,0,0,0,1,2,0,0,0,0,0,0,Biotechnology,505,317,300,1122,BBB
ABC,0.0277265994809567,0.3484722948633134,0.6238011308014393,0.0105751559508231,0.2828959773069062,4.0,0.0,43.32,0.2475065739499405,0.3183773143263533,0.4341161089483648,0.3328325375566054,0.3680593845032579,100,0.7142856938775517,52.97,0.1638091821787935,0.2511425668260816,0.5850482548615246,0.2466204678163899,0.3102231000979096,33,0.4999999375000079,54.41,0.0874431619447359,1,0.0,0,0.1311647429171039,1,0.0437215809723679,1,0.2186079048618398,1,7.869884575026232,1,0.0,0,0.0437215809723679,1,0.2186079048618398,1,0.0437215809723679,1,0.6121021336131515,1,1.3990905911157747,1,4.940538649877579,1,0.8744316194473593,1,22872,3,1012,0.0442462399440363,10324,0.4513816019587268,11536,0.5043721580972368,0.0099685204616998,0.2586568730325289,0.0833333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,Health Care,505,300,315,1120,BBB
ABCB,0.0482034347951412,0.0226194215938448,0.929177145163218,0.0305215306287373,0.0099713223061924,3.0,0.0,65.22,0.2179555733972746,0.2159455553499153,0.5660988761681236,0.2822570063213455,0.3492505109894006,72,0.7999999466666703,58.59,0.0767523655271593,0.1561539419233165,0.7670936817105146,0.1338971917196562,0.284198883233673,47,0.333333277777787,57.54,0.0,0,0.1367755171824243,1,0.0,0,0.0,0,1.8464694819627288,1,1.8464694819627288,1,0.0,0,0.2735510343648487,1,0.2051632757736365,1,0.1025816378868182,1,0.5129081894340913,1,0.4445204308428791,1,0.6838775859121217,1,0.5471020687296975,1,29245,3,10021,0.3426568644212686,7443,0.2545050435971961,11781,0.4028380919815353,0.0040690716361771,0.1124294751239528,0.0773123610873653,0,0,0,0,0,0,0,0,0,0,0,0,0,Banking,290,300,250,840,BB
