ticker,bad_extraction,extraction_note
A,0,
AADI,0,
AAL,0,
AAME,0,
AAOI,0,
AAON,0,
AAP,0,
AAPL,0,
AATC,0,
AAWW,0,
ABBV,0,
ABC,0,
ABCB,0,
ABCL,0,
ABEO,0,
ABIO,0,
ABMD,0,
ABNB,0,
ABOS,0,
ABSI,0,
ABT,0,
ABTX,0,
ABUS,0,
ABVC,0,
ACAD,0,
ACCD,0,
ACER,0,
ACET,0,
ACGL,0,
ACHC,0,
ACHV,0,
ACIW,0,
ACLS,0,
ACMR,0,
ACN,0,
ACNB,2,2-section cap + TOC-stub MDA (162 chars)
ACOR,0,
ACRS,0,
ACRX,0,
ACT,0,
ACTG,0,
ACVA,0,
ACXP,0,
ADAP,0,
ADBE,0,
ADES,0,
ADI,0,
ADIL,0,
ADM,0,
ADMA,0,
ADMP,0,
ADN,0,
ADP,0,
ADSK,0,
ADTN,0,
ADTX,0,
ADUS,0,
ADV,0,
ADVM,0,
AEE,0,
AEHR,0,
AEI,0,
AEIS,0,
AEP,0,
AERI,0,
AES,0,
AESE,0,
AEYE,0,
AFBI,0,
AFCG,0,
AFIB,0,
AFL,0,
AFRM,0,
AGEN,0,
AGFS,0,
AGFY,0,
AGIL,0,
AGIO,0,
AGLE,0,
AGNC,0,
AGRI,0,
AGRX,0,
AGTC,0,
AGYS,0,
AHCO,0,
AHPI,0,
AIG,0,
AIHS,0,
AIKI,0,
AIMC,0,
AIP,0,
AIRG,0,
AIRS,0,
AIRT,0,
AIZ,0,
AJG,0,
AKAM,0,
AKBA,0,
AKRO,0,
AKTS,2,XBRL markup in business section
AKTX,0,
AKU,0,
AKUS,0,
AKYA,0,
ALB,0,
ALBO,0,
ALCO,0,
ALDX,0,
ALEC,0,
ALGM,0,
ALGN,0,
ALGS,0,
ALGT,0,
ALIM,0,
ALK,0,
ALKS,0,
ALKT,0,
ALL,0,
ALLE,0,
ALLK,0,
ALLO,0,
ALNY,0,
AMD,0,
AME,0,
AMGN,0,
AMP,0,
AMT,0,
AMZN,0,
ANET,0,
ANSS,0,
AON,0,
AOS,2,2-section cap + TOC-stub MDA + risk only 15k chars
APD,0,
APH,0,
APTV,0,
ARE,1,"Business section only 3,233 chars (likely extraction missed section start)"
ATO,0,
ATVI,0,
AVB,0,
AVGO,0,
AVY,0,
AWK,0,
AXP,0,
AZO,0,
BA,0,
BAC,0,
BAX,0,
BBWI,0,
BBY,0,
BDX,0,
BIIB,0,
BIO,0,
BK,0,
BKNG,0,
BMY,0,
BR,0,
BRO,0,
BSX,0,
BWA,0,
BX,0,
BXP,0,
CARR,0,
CAT,0,
CBRE,0,
CCI,0,
CCL,0,
CDAY,0,
CDNS,0,
CDW,0,
CE,0,
CF,0,
CHD,0,
CHRW,0,
CHTR,0,
CINF,0,
CMA,0,
CME,0,
CMG,0,
COST,2,XBRL markup in business + risk_factors
CPRT,0,
CSCO,0,
CSX,0,
CTAS,0,
CTSH,0,
CTXS,0,
CZR,0,
DFS,0,
DG,0,
DGX,0,
DHI,0,
DIS,0,
DISH,0,
DLTR,0,
DOV,0,
DOW,0,
DRE,0,
DRI,0,
DUK,0,
DVA,0,
DXC,0,
DXCM,2,2-section cap + TOC-stub MDA (162 chars)
EBAY,2,2-section cap + TOC-stub MDA (162 chars)
ECL,0,
ETN,0,
GLW,0,
GM,0,
GOOGL,0,
GS,0,
HD,0,
HSY,0,
JNJ,0,
JPM,0,
KMX,0,
KO,0,
LDOS,0,
LEG,0,
LIN,0,
LKQ,0,
LNT,0,
LOW,2,2-section cap + 11.6% duplicate sentence rate
LRCX,0,
LUMN,0,
LYV,0,
MAR,0,
MAS,0,
MCHP,0,
MCK,0,
MCO,0,
MDLZ,0,
MDT,0,
MET,0,
META,0,
MGM,0,
MHK,0,
MKC,0,
MKTX,0,
MMC,0,
MNST,0,
MO,0,
MPC,0,
MPWR,0,
MRK,0,
MRNA,0,
MRO,0,
MSCI,0,
MSFT,0,
MSI,0,
MTB,0,
MTCH,0,
MTD,0,
MU,0,
NCLH,0,
NDAQ,0,
NEE,0,
NI,0,
NLOK,0,
NLSN,0,
NOC,0,
NOW,0,
NSC,0,
NTAP,2,XBRL markup detected
NUE,0,
NVDA,0,
NVR,0,
NWL,0,
NWSA,0,
NXPI,0,
ODFL,0,
ORLY,0,
PAYX,0,
PCAR,0,
PENN,0,
PEP,0,
PFE,0,
PFG,0,
PGR,0,
PH,0,
PKG,0,
PKI,0,
PLD,0,
PM,0,
PNR,0,
PNW,0,
POOL,0,
PPG,0,
PRU,0,
PSA,0,
PTC,0,
PVH,0,
PWR,0,
PXD,0,
PYPL,0,
QCOM,0,
QRVO,0,
RCL,0,
REG,0,
REGN,0,
RF,0,
RHI,0,
RJF,0,
RL,0,
ROK,0,
ROL,0,
ROST,0,
SBAC,0,
SBUX,0,
SCHW,0,
SIVB,0,
SNPS,0,
STX,1,Business section hit cap (unusual — typically risk section is longest)
SWKS,0,
TECH,0,
TER,2,2-section cap + TOC-stub MDA (167 chars)
TMUS,0,
TRMB,0,
TROW,0,
TSCO,0,
TSLA,0,
TTWO,0,
TXN,0,
UAL,0,
ULTA,0,
VRSK,0,
VRSN,0,
VRTX,0,
VTRS,0,
WBA,0,
WDC,0,
WYNN,0,
XRAY,0,
ZBRA,0,
ZION,0,
