ticker,total_assets,total_revenue,net_income,long_term_debt,stockholders_equity,operating_income,cash_and_equivalents,public_float,employee_count,debt_to_assets,profit_margin,return_on_equity,log_total_assets,log_total_revenue,log_long_term_debt,log_cash_and_equivalents,log_public_float,log_stockholders_equity,log_employee_count
A,9627000000.0,5163000000.0,,,4873000000.0,941000000.0,1382000000.0,30900000000.0,,,,,22.987837487846114,22.364783643037608,,21.046797563015478,24.154022020882472,22.306975601012994,
AADI,18825000.0,14580000.0,-3478000.0,,-9093000.0,-2549000.0,4455000.0,60377007.0,,,-0.23854595336076817,0.3824920268338282,16.75069638477108,16.495161353131888,,15.309537843353914,17.91611892818312,-16.02301555468275,
AAL,62008000000.0,45768000000.0,1686000000.0,29324000000.0,-169000000.0,3065000000.0,,13600000000.0,,0.4729067217133273,0.036837965390665965,-9.976331360946746,24.850529245941747,24.546850993934488,24.101672130341854,,23.333335629761947,-18.945409278804508,
AAME,405187000.0,195348000.0,12169000.0,,145060000.0,11514000.0,19319000.0,17207139.0,,,0.062293957450293834,0.08388942506549014,19.81985924937012,19.090293146497718,,16.776599677337202,16.660834971925826,18.79265801479324,
AAOI,480805000.0,190872000.0,-66049000.0,52169000.0,329094000.0,-48747000.0,43425000.0,180051906.0,,0.10850344734351765,-0.34603818265643993,-0.2006994961925772,19.990972342545486,19.06711360952633,17.769999025879063,17.586545893119652,19.00875573950543,19.611853985245453,
AAON,449008000.0,469333000.0,53711000.0,,,67011000.0,79025000.0,2682900000.0,,,0.114441132415577,,19.922551265146872,19.96682309791731,,18.18527482872018,21.71016413635725,,
AAP,11839636000.0,9709003000.0,486896000.0,,3550813000.0,677180000.0,834992000.0,13033791636.0,,,0.050148918483185145,0.13712239985603297,23.194718722770908,22.996319436429026,,20.542932703128525,23.290811178615577,21.990442428580145,
AAPL,323888000000.0,260174000000.0,55256000000.0,,107147000000.0,63930000000.0,38016000000.0,2021360000000.0,,,0.21238094505984456,0.5157027261612551,26.50366361396872,26.284616474899963,,24.361272960712895,28.33479166812612,25.397467560349916,
AATC,21424000.0,8300000.0,1063000.0,1742500.0,17933000.0,608000.0,5118000.0,28838038.0,,0.08133401792382375,0.1280722891566265,0.05927619472480901,16.880022393589716,15.931766193248746,14.370831995504743,15.448274491090675,17.17720587223009,16.702153204693676,
AAWW,6029188000.0,2739189000.0,-293113000.0,2268459000.0,2067964000.0,-460971000.0,845589000.0,1479500000.0,,0.37624618771217616,-0.10700722002023226,-0.1417398948917873,22.519878178750723,21.730927728497676,21.542366583728864,20.555543985103633,21.114970030480443,21.449830385800848,
ABBV,150565000000.0,33266000000.0,7882000000.0,75962000000.0,13076000000.0,12983000000.0,8449000000.0,197245909217.0,,0.5045130010294557,0.23693861600432875,0.6027837259100642,25.73766072159046,24.227801691344816,25.053499052204224,22.857313928235477,26.007717057385094,23.29404432588485,
ABC,44274830000.0,179589121000.0,855365000.0,4119520000.0,-1018924000.0,1111923000.0,4597746000.0,14163374015.0,,0.09304428723949928,0.004762899864073615,-0.8394787049868292,24.5136821809919,25.91393741748877,22.139002488909007,22.24883202056973,23.3739251747944,-20.742013006462546,
ABCB,18242579000.0,636394000.0,161441000.0,,1456347000.0,,,3340000000.0,,,0.25368089579725767,0.1108533886498204,23.62702420419629,20.271328427922132,,,21.92923664423442,21.099197083188685,
ABCL,1005536000.0,11612000.0,-2211000.0,,11609000.0,-4117000.0,594116000.0,3794989154000.0,,,-0.19040647605924904,-0.1904556809372039,20.728786570613604,16.26754969024446,,20.202585146139512,28.964702668801305,16.267291303460233,
ABEO,151198000.0,10000000.0,-84234000.0,,178430000.0,-81420000.0,12596000.0,137200000.0,,,-8.4234,-0.47208429075828057,18.83410080072284,16.118095750958314,,16.34888994059333,18.73695028054469,18.99970693101205,
ABIO,50429000.0,0.0,-9738000.0,,7610000.0,-9766000.0,49071000.0,50092054.0,,,,-1.2796320630749014,17.736076984219572,0.0,,17.708778807287405,17.729372970645176,15.844973861243904,
ABMD,1216462000.0,769432000.0,259016000.0,,689524000.0,224812000.0,192341000.0,12155296841.0,,,0.33663273687603323,0.3756446476119758,20.91921248336624,20.461163139567265,,19.07478040156074,23.221030865806675,20.35151206387389,
ABNB,10491499000.0,4805239000.0,-674339000.0,2000000000.0,-517308000.0,-501543000.0,2013547000.0,50300000000.0,,0.1906305285831891,-0.14033412281886498,1.3035541688897136,23.07383114723908,22.292972618194106,21.416413018006356,21.423163680918528,24.641270914071985,-20.064149001701225,
ABOS,44429000.0,,-7325000.0,,-11420000.0,-7912000.0,6552000.0,0.0,,,,0.6414185639229422,17.60940298985174,,,15.695281057140184,0.0,-16.25087684975781,
ABSI,88569000.0,4780000.0,-14353000.0,3524000.0,-41159000.0,-13301000.0,69867000.0,1200000000.0,,0.0397881877406316,-3.0027196652719663,0.34872081440268227,18.299292478507976,15.379951313672638,15.075107549806612,18.062104007036947,20.9055873945737,-17.532953197498546,
ABT,72548000000.0,31904000000.0,3687000000.0,18534000000.0,32784000000.0,4532000000.0,6838000000.0,200631182471.0,,0.25547223906930583,0.11556544633901705,0.11246339677891655,25.00751424871537,24.185997230757184,23.642872720164867,22.64576112830976,26.0247341464157,24.21320642847346,
ABTX,6050128000.0,232907000.0,52959000.0,,702984000.0,,422766000.0,728600000.0,,,0.2273826033567046,0.07533457375985797,22.523345265955435,19.26614979451441,,19.8623293948197,20.40663544391123,20.370844691336735,
ABUS,137080000.0,6914000.0,-63745000.0,0.0,72744000.0,-57806000.0,52251000.0,238483586.0,,0.0,-9.21969916112236,-0.8762922027933575,18.736075262265693,15.749059044097772,0.0,17.771569606520423,19.289811048314565,18.102457000134724,
ABVC,11606705.0,483045.0,-10593584.0,,3438340.0,-8505776.0,4273208.0,16488373.0,,,-21.930842882133135,-3.0810170023906887,16.267093592487445,13.087867166195089,,15.26787562520161,16.618166084458686,15.050499645579375,
ACAD,782616000.0,90068000.0,-235259000.0,,479079000.0,-246545000.0,189680000.0,2500000000.0,,,-2.6120153661677845,-0.4910651479192367,20.47815271348097,18.31607550966441,,19.06084900499346,21.639556569220566,19.98737607079468,
ACCD,73248000.0,94811000.0,-56496000.0,21144000.0,-183696000.0,-53977000.0,33155000.0,960200000.0,,0.2886631716906946,-0.5958802248684224,0.3075516070028743,18.10936151538668,18.36739600479643,16.866866782561,17.31670412294647,20.682652155102563,-19.028792780759506,
ACER,14613688.0,0.0,-22885449.0,,18370316.0,-22802825.0,5761568.0,34649392.0,,,,-1.245784177038653,16.497469250143396,0.0,,15.566720391412398,17.360790765409227,16.726246713438716,
ACET,153835000.0,,-36678000.0,,-60366000.0,-39191000.0,84330000.0,226000000.0,,,,0.6075936785607793,18.85139116391704,,,18.250248243409,19.23604556166134,-17.91593660706786,
ACGL,,,,,,,,,,,,,,,,,,,
ACHC,6499362000.0,2008381000.0,108923000.0,3122426000.0,2333307000.0,,378697000.0,5500000000.0,,0.4804203858778754,0.054234231453095805,0.04668181255188451,22.594969855338306,21.42059476231111,21.861876101044277,19.752246973643413,22.428013929366653,21.57055241198422,
ACHV,40298000.0,,-16395000.0,,15802000.0,,35853000.0,84749980.0,,,,-1.037526895329705,17.511812422708974,,,17.394937831408797,18.255216080036018,16.575647135547943,
ACIW,3386903000.0,1258294000.0,67062000.0,1155007000.0,1048231000.0,123756000.0,121398000.0,3849856234.0,,0.3410215763486584,0.0532959705760339,0.06397635635656644,21.943181771753707,20.95302267300732,20.86737224237366,18.614584970226755,22.07130164299045,20.770369819357693,
ACLS,624624000.0,342958000.0,,,408337000.0,24205000.0,203479000.0,1333886152.0,,,,,20.25266042826775,19.653118551568944,,19.131073368333364,21.011362438219248,19.82760337427547,
ACMR,341257000.0,107524000.0,18894000.0,25367000.0,141150000.0,17791000.0,58261000.0,1980600000.0,,0.07433400633540117,0.17571890926676834,0.1338575982996812,19.648146420003915,18.493224645728322,17.04895971410323,17.880443490947687,21.406665666556375,18.765333719748433,
ACN,37078593000.0,43215013000.0,4779112000.0,,17000536000.0,6305074000.0,8415330000.0,159483888262.0,,,0.11058916029945427,0.28111537189180386,24.33630563196729,24.489453794995583,,22.85332087962537,25.79520874004397,23.556510709976173,
ACNB,2555362000.0,85290000.0,18394000.0,53745000.0,189516000.0,,399352000.0,233741282.0,,0.021032245137870876,0.2156642044788369,0.09705776820954432,21.66145973393189,18.261567784019995,17.799761215995684,19.805353793957412,19.269725433459097,19.05998401691679,
ACOR,632680000.0,152967000.0,-99594000.0,151025000.0,237955000.0,-78076000.0,62085000.0,52234372.0,,0.2387067711955491,-0.651081605836553,-0.4185413208379736,20.26547532464014,18.845732776355927,18.8329559506105,17.94401498794003,17.77125132273574,19.287592142330922,
ACRS,70784000.0,4227000.0,-161354000.0,10653000.0,215124000.0,-111058000.0,22063000.0,914500000.0,,0.1505001130198915,-38.17222616512893,-0.7500511332998643,18.075143558551574,15.257003316123301,16.181352194463603,16.90941260061526,20.633888026888688,19.18672516867346,
ACRX,66295000.0,5416000.0,-40379000.0,13803000.0,-41418000.0,-40963000.0,27274000.0,161163094.0,,0.2082057470397466,-7.455502215657312,0.9749142884736105,18.00962505261505,15.50486827821234,16.44039659025373,17.121444462064872,18.897927422620267,-17.539226151057758,
ACT,5652710000.0,978853000.0,677628000.0,738162000.0,3273739000.0,,452794000.0,619000000.0,,0.1305855067746267,0.6922673782478064,0.20698901164692726,22.455400913305983,20.701892037024695,20.419673872025307,19.93094783609057,20.24361583226438,21.909198594024918,
ACTG,511307000.0,12004000.0,109231000.0,,277274000.0,-19518000.0,165546000.0,330094000.0,,,9.099550149950018,0.39394606057545967,20.05248075250489,16.300750568847956,,18.924759665821618,19.61488802337746,19.4405167485273,
ACVA,404550000.0,106847000.0,-77216000.0,4832000.0,-41165000.0,-79282000.0,117890000.0,2500000000.0,,0.011944135459152145,-0.7226782221307103,1.8757682497267096,19.818285898690004,18.486908471951352,15.39077122555041,18.585262552750795,21.639556569220566,-17.533098963007145,
ACXP,3224020.0,,-4600038.0,,,,,48100000.0,,,,,14.986139896235086,,,,17.68879275586601,,
ADAP,451142000.0,1122000.0,-137165000.0,,246885000.0,-139770000.0,56882000.0,583895832.0,,,-122.25044563279857,-0.5555825586811673,19.92729270600267,13.93062425632998,,17.856489522165376,20.185233156732327,19.324433203178884,
